0,3,1341.55,239.56,25.19,58.92,7.09,-1,-1,-1
0,5,1024.49,372.77,29.44,77.09,7.06,-1,-1,-1
0,6,3236.18,534.28,51.05,105.89,7.02,-1,-1,-1
0,12,2049.7,163.84,26.02,49.88,6.75,-1,-1,-1
0,15,2001.67,163.87,26.23,46.97,6.67,-1,-1,-1
0,29,151.55,623.12,79.75,44.37,2.21,-1,-1,-1
1,3,1341.24,239.31,25.59,59.33,7.13,-1,-1,-1
1,5,1023.98,372.82,28.92,76.79,7.04,-1,-1,-1
1,6,3235.82,534.5,51.14,105.55,7.08,-1,-1,-1
1,12,2049.38,164.15,26.05,49.57,6.74,-1,-1,-1
1,15,2002.43,163.71,27.2,48.21,6.64,-1,-1,-1
1,29,144.2,622.66,86.82,46.95,2.19,-1,-1,-1
2,3,1340.45,239.32,26.23,59.43,7.16,-1,-1,-1
2,5,1023.19,372.62,29.29,77.82,7.07,-1,-1,-1
2,6,3236.77,534.68,50.09,105.35,7.05,-1,-1,-1
2,12,2049.17,164.03,26.03,49.6,6.77,-1,-1,-1
2,15,2003.16,164.12,26.14,47.36,6.68,-1,-1,-1
2,29,162.57,623.58,68.01,47.01,1.08,-1,-1,-1
3,3,1340.17,239.7,26.42,59.12,7.17,-1,-1,-1
3,5,1022.82,372.35,29.51,78.2,7.11,-1,-1,-1
3,6,3237.63,534.54,49.2,105.41,7.04,-1,-1,-1
3,12,2048.27,163.87,27.22,50.24,6.79,-1,-1,-1
3,15,2003.68,164.28,25.78,47.56,6.71,-1,-1,-1
3,29,157.4,622.64,71.85,48.08,1.99,-1,-1,-1
4,3,1339.67,239.52,27.22,59.24,7.19,-1,-1,-1
4,5,1022.61,372.63,29.44,78.72,7.15,-1,-1,-1
4,6,3238.15,534.8,48.2,105.68,7.13,-1,-1,-1
4,12,2047.03,163.74,27.96,50.85,6.78,-1,-1,-1
4,15,2003.87,164.36,25.85,47.43,6.67,-1,-1,-1
4,29,150.5,622.27,78.79,51.4,1.57,-1,-1,-1
5,3,1339.36,239.98,27.75,58.54,7.19,-1,-1,-1
5,5,1021.88,372.91,29.97,78.58,7.14,-1,-1,-1
5,6,3238.54,535.35,47.48,106.07,7.01,-1,-1,-1
5,12,2045.8,164.63,27.66,50.94,6.78,-1,-1,-1
5,15,2004.29,164.61,26.08,47.73,6.73,-1,-1,-1
5,29,154.26,622.32,74.84,48.95,1.62,-1,-1,-1
6,3,1339.07,239.85,27.34,59.29,7.18,-1,-1,-1
6,5,1021.59,373.07,30.61,78.48,7.12,-1,-1,-1
6,6,3239.38,535.55,45.98,105.83,6.95,-1,-1,-1
6,12,2045.44,164.91,27.43,49.33,6.75,-1,-1,-1
6,15,2004.92,164.24,26.16,47.68,6.73,-1,-1,-1
6,29,161.46,623.55,69.34,46.87,1.0,-1,-1,-1
7,3,1339.1,240.42,26.81,58.72,7.17,-1,-1,-1
7,5,1021.16,373.0,31.07,78.21,7.17,-1,-1,-1
7,6,3240.05,535.48,44.68,105.49,6.97,-1,-1,-1
7,12,2044.94,164.72,28.23,50.19,6.77,-1,-1,-1
7,15,2004.9,164.81,26.54,47.22,6.71,-1,-1,-1
7,29,139.8,622.53,92.41,46.65,2.41,-1,-1,-1
8,3,1338.88,240.16,27.03,58.95,7.16,-1,-1,-1
8,5,1021.05,373.1,31.11,78.01,7.2,-1,-1,-1
8,6,3240.55,536.39,44.11,105.71,6.99,-1,-1,-1
8,12,2045.37,163.67,28.86,50.94,6.73,-1,-1,-1
8,15,2003.87,166.43,27.61,45.81,6.63,-1,-1,-1
8,29,141.74,622.71,90.04,46.31,2.34,-1,-1,-1
9,3,1338.82,240.02,26.96,59.27,7.15,-1,-1,-1
9,5,1020.8,372.93,31.2,78.21,7.2,-1,-1,-1
9,6,3240.61,536.61,43.91,105.47,6.93,-1,-1,-1
9,12,2044.42,165.38,27.92,50.3,6.7,-1,-1,-1
9,15,2005.42,167.81,26.76,44.95,6.59,-1,-1,-1
9,29,140.53,622.76,91.66,48.32,2.36,-1,-1,-1
10,3,1338.68,239.82,26.96,59.54,7.16,-1,-1,-1
10,5,1020.23,373.02,31.29,78.25,7.2,-1,-1,-1
